id_student,final_result,active_days,days_to_first_activity,last7_share,phase,phase_start,phase_end,phase_length
6516,Pass,14,0.0,0.21621621621621623,P1,0,19,20
24734,Pass,5,2.0,0.6491228070175439,P1,0,19,20
28061,Pass,9,1.0,0.6859504132231405,P1,0,19,20
31600,Pass,1,18.0,1.0,P1,0,19,20
46844,Pass,5,8.0,0.40789473684210525,P1,0,19,20
52765,Pass,20,0.0,0.39979338842975204,P1,0,19,20
55104,Pass,7,2.0,0.5061728395061729,P1,0,19,20
58071,Pass,17,0.0,0.18619246861924685,P1,0,19,20
58316,Pass,14,2.0,0.6358695652173914,P1,0,19,20
62487,Pass,9,0.0,0.7398843930635838,P1,0,19,20
63165,Pass,12,0.0,0.3007518796992481,P1,0,19,20
65002,Fail,1,10.0,0.0,P1,0,19,20
70011,Pass,15,1.0,0.34615384615384615,P1,0,19,20
75255,Pass,11,3.0,0.3118279569892473,P1,0,19,20
79403,Withdrawn,10,0.0,0.16312056737588654,P1,0,19,20
85092,Pass,2,7.0,0.0,P1,0,19,20
85144,Pass,7,3.0,0.1875,P1,0,19,20
85302,Pass,14,2.0,0.415041782729805,P1,0,19,20
87431,Withdrawn,5,3.0,0.08726415094339622,P1,0,19,20
94961,Pass,7,3.0,0.5384615384615384,P1,0,19,20
95755,Withdrawn,15,0.0,0.448559670781893,P1,0,19,20
101116,Pass,16,1.0,0.19047619047619047,P1,0,19,20
107489,Pass,16,0.0,0.39270687237026647,P1,0,19,20
108872,Pass,10,0.0,0.5350877192982456,P1,0,19,20
109155,Pass,15,0.0,0.1178343949044586,P1,0,19,20
111512,Fail,8,0.0,0.6099290780141844,P1,0,19,20
117818,Pass,10,1.0,0.75,P1,0,19,20
119902,Withdrawn,16,0.0,0.3302752293577982,P1,0,19,20
121349,Pass,9,2.0,0.5416666666666666,P1,0,19,20
125018,Pass,14,0.0,0.37103174603174605,P1,0,19,20
129955,Withdrawn,10,2.0,0.37209302325581395,P1,0,19,20
130034,Pass,12,0.0,0.36904761904761907,P1,0,19,20
130547,Pass,11,0.0,0.4611872146118721,P1,0,19,20
130636,Pass,1,2.0,0.0,P1,0,19,20
131390,Pass,3,10.0,0.13725490196078433,P1,0,19,20
133816,Pass,14,0.0,0.42395437262357416,P1,0,19,20
133922,Pass,6,0.0,0.08823529411764706,P1,0,19,20
135335,Withdrawn,3,9.0,0.5833333333333334,P1,0,19,20
135400,Pass,2,15.0,1.0,P1,0,19,20
139033,Fail,3,10.0,0.8269230769230769,P1,0,19,20
141377,Pass,5,10.0,0.4936708860759494,P1,0,19,20
141506,Fail,9,0.0,0.49767441860465117,P1,0,19,20
146503,Pass,10,1.0,0.2396694214876033,P1,0,19,20
147756,Pass,7,2.0,0.5625,P1,0,19,20
148993,Pass,8,2.0,0.4122137404580153,P1,0,19,20
149741,Pass,12,0.0,0.17336683417085427,P1,0,19,20
149962,Pass,4,10.0,0.782051282051282,P1,0,19,20
151587,Withdrawn,3,6.0,0.45454545454545453,P1,0,19,20
152668,Withdrawn,16,3.0,0.6353887399463807,P1,0,19,20
155984,Pass,6,3.0,0.7975708502024291,P1,0,19,20
158707,Withdrawn,17,0.0,0.2867132867132867,P1,0,19,20
159954,Withdrawn,4,2.0,0.0,P1,0,19,20
164944,Pass,8,0.0,0.8023255813953488,P1,0,19,20
165226,Fail,8,2.0,0.13745704467353953,P1,0,19,20
167961,Pass,13,2.0,0.3087071240105541,P1,0,19,20
174024,Pass,6,2.0,0.2698412698412698,P1,0,19,20
174094,Pass,16,1.0,0.23684210526315788,P1,0,19,20
174745,Pass,6,2.0,0.2764976958525346,P1,0,19,20
175447,Pass,18,0.0,0.10623556581986143,P1,0,19,20
175772,Withdrawn,14,1.0,0.22145804676753783,P1,0,19,20
183057,Pass,10,2.0,0.3383084577114428,P1,0,19,20
185350,Fail,4,3.0,0.9764705882352941,P1,0,19,20
188278,Pass,18,0.0,0.450281425891182,P1,0,19,20
199636,Pass,13,2.0,0.5895953757225434,P1,0,19,20
199897,Pass,10,5.0,0.8480243161094225,P1,0,19,20
200804,Pass,10,4.0,0.4864864864864865,P1,0,19,20
