id_student,activity,week,day,clicks,event_kind,deadline,final_result,date_unregistration,timestamp,case_id
27759,forumng,0,0,16.0,vle,,Fail,,2014-01-01 00:00:00,27759
27759,glossary,0,0,1.0,vle,,Fail,,2014-01-01 00:00:01,27759
27759,homepage,0,0,26.0,vle,,Fail,,2014-01-01 00:00:02,27759
27759,oucontent,0,0,1.0,vle,,Fail,,2014-01-01 00:00:03,27759
27759,resource,0,0,6.0,vle,,Fail,,2014-01-01 00:00:04,27759
27759,subpage,0,0,5.0,vle,,Fail,,2014-01-01 00:00:05,27759
27759,url,0,0,10.0,vle,,Fail,,2014-01-01 00:00:06,27759
27759,homepage,1,7,12.0,vle,,Fail,,2014-01-08 00:00:00,27759
27759,resource,1,7,6.0,vle,,Fail,,2014-01-08 00:00:01,27759
27759,subpage,1,7,8.0,vle,,Fail,,2014-01-08 00:00:02,27759
27759,url,1,7,3.0,vle,,Fail,,2014-01-08 00:00:03,27759
27759,forumng,1,8,11.0,vle,,Fail,,2014-01-09 00:00:00,27759
27759,glossary,1,8,3.0,vle,,Fail,,2014-01-09 00:00:01,27759
27759,oucontent,1,8,2.0,vle,,Fail,,2014-01-09 00:00:02,27759
27759,homepage,2,18,2.0,vle,,Fail,,2014-01-19 00:00:00,27759
27759,submit_TMA1,2,18,,submission,19.0,Fail,,2014-01-19 00:00:01,27759
27759,forumng,3,23,6.0,vle,,Fail,,2014-01-24 00:00:00,27759
27759,homepage,3,23,5.0,vle,,Fail,,2014-01-24 00:00:01,27759
27759,forumng,5,40,4.0,vle,,Fail,,2014-02-10 00:00:00,27759
27759,homepage,5,40,1.0,vle,,Fail,,2014-02-10 00:00:01,27759
27759,homepage,6,42,6.0,vle,,Fail,,2014-02-12 00:00:00,27759
27759,quiz,6,42,18.0,vle,,Fail,,2014-02-12 00:00:01,27759
27759,submit_TMA2,6,45,,submission,47.0,Fail,,2014-02-15 00:00:00,27759
27759,homepage,7,50,8.0,vle,,Fail,,2014-02-20 00:00:00,27759
27759,oucontent,7,55,4.0,vle,,Fail,,2014-02-25 00:00:00,27759
27759,subpage,7,55,1.0,vle,,Fail,,2014-02-25 00:00:01,27759
27759,submit_CMA1,8,56,,submission,54.0,Fail,,2014-02-26 00:00:00,27759
27759,homepage,11,81,5.0,vle,,Fail,,2014-03-23 00:00:00,27759
27759,quiz,11,81,16.0,vle,,Fail,,2014-03-23 00:00:01,27759
27759,resource,11,81,2.0,vle,,Fail,,2014-03-23 00:00:02,27759
27759,subpage,11,81,3.0,vle,,Fail,,2014-03-23 00:00:03,27759
27759,url,11,81,1.0,vle,,Fail,,2014-03-23 00:00:04,27759
27759,forumng,12,90,2.0,vle,,Fail,,2014-04-01 00:00:00,27759
27759,homepage,12,90,2.0,vle,,Fail,,2014-04-01 00:00:01,27759
27759,homepage,13,96,2.0,vle,,Fail,,2014-04-07 00:00:00,27759
27759,submit_TMA3,13,96,,submission,96.0,Fail,,2014-04-07 00:00:01,27759
27759,homepage,14,102,1.0,vle,,Fail,,2014-04-13 00:00:00,27759
27759,submit_CMA2,14,102,,submission,96.0,Fail,,2014-04-13 00:00:01,27759
27759,forumng,15,110,1.0,vle,,Fail,,2014-04-21 00:00:00,27759
27759,homepage,15,110,6.0,vle,,Fail,,2014-04-21 00:00:01,27759
27759,quiz,15,110,25.0,vle,,Fail,,2014-04-21 00:00:02,27759
27759,resource,15,110,2.0,vle,,Fail,,2014-04-21 00:00:03,27759
27759,subpage,15,110,2.0,vle,,Fail,,2014-04-21 00:00:04,27759
27759,homepage,16,113,1.0,vle,,Fail,,2014-04-24 00:00:00,27759
27759,subpage,16,113,2.0,vle,,Fail,,2014-04-24 00:00:01,27759
27759,homepage,17,122,1.0,vle,,Fail,,2014-05-03 00:00:00,27759
27759,submit_TMA4,18,131,,submission,131.0,Fail,,2014-05-12 00:00:00,27759
27759,submit_CMA3,19,133,,submission,131.0,Fail,,2014-05-14 00:00:00,27759
27759,homepage,19,135,1.0,vle,,Fail,,2014-05-16 00:00:00,27759
27759,homepage,20,145,1.0,vle,,Fail,,2014-05-26 00:00:00,27759
27759,quiz,20,145,14.0,vle,,Fail,,2014-05-26 00:00:01,27759
27759,forumng,22,155,10.0,vle,,Fail,,2014-06-05 00:00:00,27759
27759,homepage,22,155,10.0,vle,,Fail,,2014-06-05 00:00:01,27759
27759,resource,22,155,1.0,vle,,Fail,,2014-06-05 00:00:02,27759
27759,subpage,22,155,6.0,vle,,Fail,,2014-06-05 00:00:03,27759
27759,url,22,155,1.0,vle,,Fail,,2014-06-05 00:00:04,27759
27759,oucontent,22,157,5.0,vle,,Fail,,2014-06-07 00:00:00,27759
27759,homepage,23,166,1.0,vle,,Fail,,2014-06-16 00:00:00,27759
27759,submit_TMA5,23,166,,submission,166.0,Fail,,2014-06-16 00:00:01,27759
27759,submit_CMA4,24,168,,submission,166.0,Fail,,2014-06-18 00:00:00,27759
27759,homepage,25,180,1.0,vle,,Fail,,2014-06-30 00:00:00,27759
27759,quiz,25,180,3.0,vle,,Fail,,2014-06-30 00:00:01,27759
27759,homepage,26,187,2.0,vle,,Fail,,2014-07-07 00:00:00,27759
27759,quiz,26,187,12.0,vle,,Fail,,2014-07-07 00:00:01,27759
27759,homepage,27,195,8.0,vle,,Fail,,2014-07-15 00:00:00,27759
27759,oucontent,27,195,3.0,vle,,Fail,,2014-07-15 00:00:01,27759
27759,resource,27,195,2.0,vle,,Fail,,2014-07-15 00:00:02,27759
27759,subpage,27,195,7.0,vle,,Fail,,2014-07-15 00:00:03,27759
27759,homepage,28,201,1.0,vle,,Fail,,2014-07-21 00:00:00,27759
27759,oucontent,28,201,2.0,vle,,Fail,,2014-07-21 00:00:01,27759
27759,subpage,28,201,1.0,vle,,Fail,,2014-07-21 00:00:02,27759
27759,homepage,29,204,2.0,vle,,Fail,,2014-07-24 00:00:00,27759
27759,submit_TMA6,29,207,,submission,208.0,Fail,,2014-07-27 00:00:00,27759
27759,submit_CMA5,30,210,,submission,208.0,Fail,,2014-07-30 00:00:00,27759
27759,homepage,30,214,1.0,vle,,Fail,,2014-08-03 00:00:00,27759
27759,homepage,31,219,1.0,vle,,Fail,,2014-08-08 00:00:00,27759
27759,forumng,35,246,7.0,vle,,Fail,,2014-09-04 00:00:00,27759
27759,homepage,35,246,4.0,vle,,Fail,,2014-09-04 00:00:01,27759
27759,forumng,36,253,2.0,vle,,Fail,,2014-09-11 00:00:00,27759
27759,homepage,36,253,8.0,vle,,Fail,,2014-09-11 00:00:01,27759
27759,forumng,37,263,6.0,vle,,Fail,,2014-09-21 00:00:00,27759
27759,homepage,37,263,4.0,vle,,Fail,,2014-09-21 00:00:01,27759
30091,forumng,-1,-1,31.0,vle,,Pass,,2013-12-31 00:00:00,30091
30091,homepage,-1,-1,16.0,vle,,Pass,,2013-12-31 00:00:01,30091
30091,oucontent,-1,-1,2.0,vle,,Pass,,2013-12-31 00:00:02,30091
30091,resource,-1,-1,7.0,vle,,Pass,,2013-12-31 00:00:03,30091
30091,subpage,-1,-1,6.0,vle,,Pass,,2013-12-31 00:00:04,30091
30091,url,-1,-1,4.0,vle,,Pass,,2013-12-31 00:00:05,30091
30091,forumng,0,3,72.0,vle,,Pass,,2014-01-04 00:00:00,30091
30091,homepage,0,3,25.0,vle,,Pass,,2014-01-04 00:00:01,30091
30091,url,0,3,8.0,vle,,Pass,,2014-01-04 00:00:02,30091
30091,resource,0,5,5.0,vle,,Pass,,2014-01-06 00:00:00,30091
30091,subpage,0,5,7.0,vle,,Pass,,2014-01-06 00:00:01,30091
30091,quiz,0,6,1.0,vle,,Pass,,2014-01-07 00:00:00,30091
30091,forumng,1,7,10.0,vle,,Pass,,2014-01-08 00:00:00,30091
30091,homepage,1,7,3.0,vle,,Pass,,2014-01-08 00:00:01,30091
30091,homepage,2,19,4.0,vle,,Pass,,2014-01-20 00:00:00,30091
30091,oucontent,2,19,3.0,vle,,Pass,,2014-01-20 00:00:01,30091
30091,subpage,2,19,1.0,vle,,Pass,,2014-01-20 00:00:02,30091
30091,url,2,20,1.0,vle,,Pass,,2014-01-21 00:00:00,30091
30091,homepage,3,24,2.0,vle,,Pass,,2014-01-25 00:00:00,30091
30091,oucontent,3,24,10.0,vle,,Pass,,2014-01-25 00:00:01,30091
30091,subpage,3,24,1.0,vle,,Pass,,2014-01-25 00:00:02,30091
30091,submit_TMA1,3,24,,submission,19.0,Pass,,2014-01-25 00:00:03,30091
30091,homepage,4,30,5.0,vle,,Pass,,2014-01-31 00:00:00,30091
30091,quiz,4,30,1.0,vle,,Pass,,2014-01-31 00:00:01,30091
30091,resource,4,30,1.0,vle,,Pass,,2014-01-31 00:00:02,30091
30091,subpage,4,30,2.0,vle,,Pass,,2014-01-31 00:00:03,30091
30091,homepage,5,35,10.0,vle,,Pass,,2014-02-05 00:00:00,30091
30091,quiz,5,35,1.0,vle,,Pass,,2014-02-05 00:00:01,30091
30091,subpage,5,39,1.0,vle,,Pass,,2014-02-09 00:00:00,30091
30091,homepage,7,52,15.0,vle,,Pass,,2014-02-22 00:00:00,30091
30091,url,7,52,4.0,vle,,Pass,,2014-02-22 00:00:01,30091
30091,forumng,7,53,29.0,vle,,Pass,,2014-02-23 00:00:00,30091
30091,quiz,7,53,15.0,vle,,Pass,,2014-02-23 00:00:01,30091
30091,resource,7,53,3.0,vle,,Pass,,2014-02-23 00:00:02,30091
30091,subpage,7,53,2.0,vle,,Pass,,2014-02-23 00:00:03,30091
30091,submit_TMA2,7,53,,submission,47.0,Pass,,2014-02-23 00:00:04,30091
30091,homepage,8,56,26.0,vle,,Pass,,2014-02-26 00:00:00,30091
30091,resource,8,56,11.0,vle,,Pass,,2014-02-26 00:00:01,30091
30091,subpage,8,56,16.0,vle,,Pass,,2014-02-26 00:00:02,30091
30091,url,8,56,9.0,vle,,Pass,,2014-02-26 00:00:03,30091
30091,submit_CMA1,8,56,,submission,54.0,Pass,,2014-02-26 00:00:04,30091
30091,forumng,8,61,18.0,vle,,Pass,,2014-03-03 00:00:00,30091
30091,oucontent,8,61,2.0,vle,,Pass,,2014-03-03 00:00:01,30091
30091,forumng,9,66,20.0,vle,,Pass,,2014-03-08 00:00:00,30091
30091,homepage,9,66,6.0,vle,,Pass,,2014-03-08 00:00:01,30091
30091,url,9,66,3.0,vle,,Pass,,2014-03-08 00:00:02,30091
30091,forumng,10,72,71.0,vle,,Pass,,2014-03-14 00:00:00,30091
30091,homepage,10,72,5.0,vle,,Pass,,2014-03-14 00:00:01,30091
30091,url,10,72,2.0,vle,,Pass,,2014-03-14 00:00:02,30091
30091,forumng,11,77,44.0,vle,,Pass,,2014-03-19 00:00:00,30091
30091,homepage,11,77,9.0,vle,,Pass,,2014-03-19 00:00:01,30091
30091,url,11,80,3.0,vle,,Pass,,2014-03-22 00:00:00,30091
30091,quiz,11,83,12.0,vle,,Pass,,2014-03-25 00:00:00,30091
30091,forumng,12,85,93.0,vle,,Pass,,2014-03-27 00:00:00,30091
30091,homepage,12,85,10.0,vle,,Pass,,2014-03-27 00:00:01,30091
30091,url,12,85,4.0,vle,,Pass,,2014-03-27 00:00:02,30091
30091,submit_TMA3,13,92,,submission,96.0,Pass,,2014-04-03 00:00:00,30091
30091,forumng,14,102,152.0,vle,,Pass,,2014-04-13 00:00:00,30091
30091,homepage,14,102,17.0,vle,,Pass,,2014-04-13 00:00:01,30091
30091,resource,14,102,1.0,vle,,Pass,,2014-04-13 00:00:02,30091
30091,subpage,14,102,1.0,vle,,Pass,,2014-04-13 00:00:03,30091
30091,url,14,102,1.0,vle,,Pass,,2014-04-13 00:00:04,30091
30091,submit_CMA2,14,102,,submission,96.0,Pass,,2014-04-13 00:00:05,30091
30091,homepage,15,105,7.0,vle,,Pass,,2014-04-16 00:00:00,30091
30091,url,15,105,7.0,vle,,Pass,,2014-04-16 00:00:01,30091
30091,homepage,18,126,8.0,vle,,Pass,,2014-05-07 00:00:00,30091
30091,quiz,18,126,14.0,vle,,Pass,,2014-05-07 00:00:01,30091
30091,url,18,126,3.0,vle,,Pass,,2014-05-07 00:00:02,30091
30091,forumng,18,127,103.0,vle,,Pass,,2014-05-08 00:00:00,30091
30091,forumng,19,133,17.0,vle,,Pass,,2014-05-14 00:00:00,30091
30091,homepage,19,133,5.0,vle,,Pass,,2014-05-14 00:00:01,30091
30091,url,19,133,4.0,vle,,Pass,,2014-05-14 00:00:02,30091
30091,submit_CMA3,19,133,,submission,131.0,Pass,,2014-05-14 00:00:03,30091
30091,homepage,20,140,9.0,vle,,Pass,,2014-05-21 00:00:00,30091
30091,url,20,140,4.0,vle,,Pass,,2014-05-21 00:00:01,30091
30091,oucontent,20,143,1.0,vle,,Pass,,2014-05-24 00:00:00,30091
30091,quiz,20,143,12.0,vle,,Pass,,2014-05-24 00:00:01,30091
30091,homepage,21,149,4.0,vle,,Pass,,2014-05-30 00:00:00,30091
30091,quiz,21,149,1.0,vle,,Pass,,2014-05-30 00:00:01,30091
30091,forumng,22,154,8.0,vle,,Pass,,2014-06-04 00:00:00,30091
30091,homepage,22,154,4.0,vle,,Pass,,2014-06-04 00:00:01,30091
30091,oucontent,22,154,4.0,vle,,Pass,,2014-06-04 00:00:02,30091
30091,url,22,154,1.0,vle,,Pass,,2014-06-04 00:00:03,30091
30091,homepage,23,165,7.0,vle,,Pass,,2014-06-15 00:00:00,30091
30091,url,23,165,3.0,vle,,Pass,,2014-06-15 00:00:01,30091
30091,oucontent,23,166,7.0,vle,,Pass,,2014-06-16 00:00:00,30091
30091,quiz,23,166,1.0,vle,,Pass,,2014-06-16 00:00:01,30091
30091,submit_TMA5,23,167,,submission,166.0,Pass,,2014-06-17 00:00:00,30091
30091,submit_CMA4,24,168,,submission,166.0,Pass,,2014-06-18 00:00:00,30091
30091,homepage,24,173,3.0,vle,,Pass,,2014-06-23 00:00:00,30091
30091,subpage,24,173,1.0,vle,,Pass,,2014-06-23 00:00:01,30091
30091,forumng,27,193,10.0,vle,,Pass,,2014-07-13 00:00:00,30091
30091,homepage,27,193,1.0,vle,,Pass,,2014-07-13 00:00:01,30091
30091,forumng,28,200,6.0,vle,,Pass,,2014-07-20 00:00:00,30091
30091,homepage,28,200,1.0,vle,,Pass,,2014-07-20 00:00:01,30091
